UH#,Location,Country,Latitude,Longitude,Start,End
333,Fort Denison,Australia,-33.85,151.233,1/1/1965,12/31/2018
334,Townsville,Australia,-19.25,146.833,1/1/1984,12/31/2018
335,Spring Bay,Australia,-42.55,147.933,4/13/1985,12/31/2018
336,Booby Island,Australia,-10.6,141.917,1/1/1988,12/31/2018
340,Kaohsiung,China,22.615,120.288,1/2/1980,4/29/2016
341,Keelung,China,25.157,121.745,1/1/1980,4/29/2016
345,Nakano Shima,Japan,29.842,129.842,1/30/1984,11/30/2018
347,Abashiri,Japan,44.017,144.283,1/1/1968,11/29/2018
348,Hamada,Japan,34.9,132.067,3/1/1984,11/29/2018
349,Toyama,Japan,36.767,137.217,5/1/1967,11/29/2018
350,Kushiro,Japan,42.967,144.383,1/1/1963,11/29/2018
351,Ofunato,Japan,39.017,141.75,1/1/1965,11/30/2018
352,Mera,Japan,34.917,139.833,1/1/1965,11/29/2018
353,Kushimoto,Japan,33.467,135.783,1/1/1961,11/29/2018
354,Aburatsu,Japan,31.567,131.417,1/1/1961,11/29/2018
355,Naha,Japan,26.217,127.667,8/1/1966,11/30/2018
356,Maisaka,Japan,34.683,137.617,1/1/1968,11/29/2018
359,Naze,Japan,28.382,129.495,4/9/1957,11/30/2018
360,Wakkanai,Japan,45.417,141.683,1/1/1967,11/29/2018
362,Nagasaki,Japan,32.733,129.867,1/1/1985,11/29/2018
363,Nishinoomote,Japan,30.735,130.992,4/22/1965,11/30/2018
364,Hakodate,Japan,41.783,140.733,7/1/1964,11/29/2018
365,Ishigaki,Japan,24.333,124.15,1/1/1969,11/30/2018
370,Manila,Philippines (the),14.585,120.968,1/1/1984,11/30/2018
371,Legaspi,Philippines (the),13.15,123.75,1/1/1984,11/30/2018
372,Davao,Philippines (the),7.122,125.663,1/1/1990,11/30/2018
381,Qui Nhon,Viet Nam,13.775,109.255,10/20/2007,11/30/2018
382,Subic Bay,Philippines (the),14.765,120.252,2/28/2007,11/28/2018
383,Vung Tau,Viet Nam,10.34,107.072,10/16/2007,12/31/2018
395,Manzanillo,Mexico,19.05,-104.333,12/1/1992,8/28/2013
399,Lord Howe,Australia,-31.517,159.067,4/24/1991,6/29/2012
400,Lombrum,Papua New Guinea,-2.033,147.367,9/29/1994,12/31/2018
402,Lautoka,Fiji,-17.6,177.433,10/24/1992,12/31/2018
403,Jackson,New Zealand,-43.983,168.617,1/1/1999,12/31/2013
416,Tanjung Lesung,Indonesia,-6.483,105.667,1/31/2008,9/20/2012
417,Sadeng,Indonesia,-8.5,110.783,7/19/2008,4/2/2016
418,Waikelo,Indonesia,-9.4,119.233,4/11/2008,11/30/2018
419,Lembar,Indonesia,-8.732,116.072,9/23/2008,11/30/2018
420,Saumlaki,Indonesia,-7.982,131.29,10/2/2008,11/30/2018
540,Prince Rupert,Canada,54.317,-130.323,1/2/1909,11/30/2018
541,Bamfield,Canada,54.317,-130.333,12/1/2001,11/30/2018
542,Tofino,Canada,49.153,-125.913,10/2/1909,11/30/2018
547,"Barbers Point, HI",United States of America (the),21.32,-158.12,6/6/2009,10/23/2018
548,"Kaumalapau, HI",United States of America (the),20.78,-156.9,7/15/2007,3/22/2015
551,"San Francisco, CA",United States of America (the),37.807,-122.465,1897-08-02,12/31/2018
552,Kawaihae,United States of America (the),20.033,-155.833,3/1/1989,12/31/2018
554,"La Jolla, CA",United States of America (the),32.867,-117.257,1/1/1925,11/30/2018
556,"Crescent City, CA",United States of America (the),41.745,-124.183,4/12/1933,11/30/2018
558,"Neah Bay, WA",United States of America (the),48.368,-124.617,8/2/1934,12/31/2018
559,"Sitka, AK",United States of America (the),57.052,-135.342,5/20/1938,11/30/2018
560,"Seward, AK",United States of America (the),60.12,-149.427,1/2/1967,11/30/2018
569,San Diego,United States of America (the),32.713,-117.173,1/22/1906,12/31/2018
570,"Yakutat, AK",United States of America (the),59.548,-139.735,1/2/1961,11/30/2018
571,"Ketchikan, AK",United States of America (the),55.333,-131.625,10/12/1918,11/30/2018
574,"Sand Point, AK",United States of America (the),55.337,-160.502,1/1/1973,11/30/2018
